ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000164125.15	GASK1B	GASK1B	51313	golgi associated kinase 1B	5563.42304721704	1.103161297943639	0.09721726326251603	2.8456738787944207e-31	2.7305821796965128e-28
ENSG00000198624.13	CCDC69	CCDC69	26112	coiled-coil domain containing 69	2039.0607040290226	2.8158282482681285	0.2478908145508323	3.2859103254532315e-31	2.9870654284856954e-28
ENSG00000276600.5	RAB7B	RAB7B	338382	RAB7B, member RAS oncogene family	308.84293209269964	-1.80200791939286	0.1652520212618145	6.816032840373458e-30	5.886325960946518e-27
ENSG00000108821.13	COL1A1	COL1A1	1277	collagen type I alpha 1 chain	94334.82261886206	-1.2583210376207392	0.11533828936209552	1.8349595604563695e-29	1.5092105489620196e-26
ENSG00000135821.18	GLUL	GLUL	2752	glutamate-ammonia ligase	19486.57723873462	2.9103391574719555	0.26546362766006065	2.5229789748376792e-29	1.9807678569725634e-26
ENSG00000164647.9	STEAP1	STEAP1	26872	STEAP family member 1	1811.953093654441	1.5192887015330583	0.14224621776543148	7.861063783793229e-29	5.90331711624681e-26
ENSG00000162692.12	VCAM1	VCAM1	7412	vascular cell adhesion molecule 1	507.2347928594212	-3.4635760695744557	0.3223570818808607	1.059607576904355e-28	7.625642528455009e-26
ENSG00000256235.2	SMIM3	SMIM3	85027	small integral membrane protein 3	1108.4884789004202	1.2372759953231267	0.11524394552563659	1.3516469723570445e-28	9.33825860262035e-26
ENSG00000163884.4	KLF15	KLF15	28999	KLF transcription factor 15	551.1765377617697	4.325185779361272	0.4142735538923085	2.36107017886193e-28	1.5684770818962791e-25
ENSG00000077684.16	JADE1	JADE1	79960	jade family PHD finger 1	1425.666682508973	1.1877444494333973	0.11101788246595284	2.5749348217264596e-28	1.6471953422540522e-25
ENSG00000139132.14	FGD4	FGD4	121512	FYVE, RhoGEF and PH domain containing 4	1215.148748378154	2.199780625158476	0.20678649613809216	4.772916579630069e-28	2.890387195743722e-25
ENSG00000114098.18	ARMC8	ARMC8	25852	armadillo repeat containing 8	998.2030487836619	1.3300200510127929	0.12575756645308644	4.853012313372391e-28	2.890387195743722e-25
ENSG00000123562.17	MORF4L2	MORF4L2	9643	mortality factor 4 like 2	4932.15394636381	1.002515395505091	0.09500039445390059	2.768069594183231e-27	1.5936699343577588e-24
ENSG00000109906.14	ZBTB16	ZBTB16	7704	zinc finger and BTB domain containing 16	1165.5149370406052	6.918555422902248	0.7091494114724511	3.035898570178975e-27	1.691485164649395e-24
ENSG00000181467.5	RAP2B	RAP2B	5912	RAP2B, member of RAS oncogene family	636.6734554533435	-1.2342988185810764	0.11897802130910447	6.4575794762163285e-27	3.485478522287763e-24
ENSG00000145777.15	TSLP	TSLP	85480	thymic stromal lymphopoietin	152.10385792122858	-2.69834298112832	0.258576474980803	8.516486660153663e-27	4.4574775028537594e-24
ENSG00000116285.13	ERRFI1	ERRFI1	54206	ERBB receptor feedback inhibitor 1	3212.0472974210165	2.3778681284835788	0.22907648119423046	1.1559693730322754e-26	5.872324415003959e-24
ENSG00000165995.20	CACNB2	CACNB2	783	calcium voltage-gated channel auxiliary subunit beta 2	522.1607367318499	3.110188143236758	0.3030267816817704	3.3043585718044423e-26	1.6306537500630378e-23
ENSG00000103196.12	CRISPLD2	CRISPLD2	83716	cysteine rich secretory protein LCCL domain containing 2	2875.4571373927884	2.618796668782867	0.2590195473274646	2.407493296905378e-25	1.1448502642372766e-22
ENSG00000163491.16	NEK10	NEK10	152110	NIMA related kinase 10	159.39349328886203	-2.393251310478099	0.23731327678341158	2.4524930394151943e-25	1.1448502642372766e-22
ENSG00000183160.9	TMEM119	TMEM119	338773	transmembrane protein 119	2949.122295981198	-1.1420746170648757	0.11365398224950533	2.860860814641927e-25	1.3003365260656675e-22
ENSG00000119138.4	KLF9	KLF9	687	KLF transcription factor 9	1674.6738098175986	2.0579478902155492	0.20744246300950842	4.714544615995449e-25	2.0879388360890614e-22
ENSG00000163697.17	APBB2	APBB2	323	amyloid beta precursor protein binding family B member 2	2215.547943105779	1.0522603272422426	0.10500612500594962	5.630004657734449e-25	2.431036011209735e-22
ENSG00000177666.17	PNPLA2	PNPLA2	57104	patatin like domain 2, triacylglycerol lipase	1639.651947118501	1.0778553076708854	0.10820949409099462	9.257503060233795e-25	3.899892508691661e-22
ENSG00000185950.9	IRS2	IRS2	8660	insulin receptor substrate 2	2094.389913881259	2.102144875868041	0.21463484890145945	1.9308369667525255e-24	7.9403371642261e-22
ENSG00000157150.5	TIMP4	TIMP4	7079	TIMP metallopeptidase inhibitor 4	164.29305482718783	2.817354272886445	0.2850421941503711	2.2110049661287767e-24	8.881041343017728e-22
ENSG00000166482.11	MFAP4	MFAP4	4239	microfibril associated protein 4	26149.613948421047	-0.9414355404528745	0.09548283441159341	4.2927494932217715e-24	1.68509930106651e-21
ENSG00000141401.12	IMPA2	IMPA2	3613	inositol monophosphatase 2	603.0878867742781	2.2650354643340425	0.23222671682610543	4.8471904121726724e-24	1.8604593955343642e-21
ENSG00000139289.13	PHLDA1	PHLDA1	22822	pleckstrin homology like domain family A member 1	1965.4416832739057	-0.9706969852598182	0.09974105501392468	1.3686667554764852e-23	5.139046130563011e-21
ENSG00000211445.12	GPX3	GPX3	2878	glutathione peroxidase 3	12249.81715522761	3.5503486921360343	0.37114655994750856	1.4978733530333882e-23	5.399773369310967e-21
ENSG00000133142.17	TCEAL4	TCEAL4	79921	transcription elongation factor A like 4	3029.506897267689	1.5020639208960935	0.15822854030717395	1.5006317839678465e-23	5.399773369310967e-21
ENSG00000172986.13	GXYLT2	GXYLT2	727936	glucoside xylosyltransferase 2	747.4531733030802	-1.5213049013647928	0.16119109172588295	2.4257873465030166e-23	8.550652867102062e-21
ENSG00000164484.11	TMEM200A	TMEM200A	114801	transmembrane protein 200A	810.8346191355021	-1.1756167388491472	0.12478644393552389	1.1640703048847815e-22	4.0211644611939894e-20
ENSG00000131389.17	SLC6A6	SLC6A6	6533	solute carrier family 6 member 6	737.5758588003081	-2.0571639308989345	0.22440778755625215	6.424553800665498e-22	2.175782220492049e-19
ENSG00000158246.8	TENT5B	TENT5B	115572	terminal nucleotidyltransferase 5B	68.10349757750355	2.2298645924837324	0.24319877657591374	1.1074510496054248e-21	3.678441255535557e-19
ENSG00000134253.10	TRIM45	TRIM45	80263	tripartite motif containing 45	135.45865950618878	-1.9066499481820312	0.21223268803356707	2.1021611754300366e-21	6.850665626797659e-19
ENSG00000132356.11	PRKAA1	PRKAA1	5562	protein kinase AMP-activated catalytic subunit alpha 1	2375.3840160066475	0.8482846713572646	0.0918473630609882	2.2733242741745235e-21	7.271269789544883e-19
ENSG00000250978.5	LOC101928819	LOC101928819	101928819	uncharacterized LOC101928819	56.05175819835689	5.8633647536735864	0.7418823315984614	3.634486886510409e-21	1.140198287250327e-18
ENSG00000157514.16	TSC22D3	TSC22D3	1831	TSC22 domain family member 3	2169.251354571525	3.165334378582606	0.34947176141928327	3.696798522812547e-21	1.140198287250327e-18
ENSG00000113456.19	RAD1	RAD1	5810	RAD1 checkpoint DNA exonuclease	1059.1138739488576	0.8532776749447427	0.0935571898352085	6.5385517659772415e-21	1.9812958965255946e-18
ENSG00000197043.14	ANXA6	ANXA6	309	annexin A6	13915.92066043215	0.8966045729008586	0.09852543917892909	7.02244545149621e-21	2.0912358247972854e-18
ENSG00000110756.18	HPS5	HPS5	11234	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	991.9273972980025	1.5320965819495558	0.17447761629495318	1.022851627562142e-20	2.994354798517511e-18
ENSG00000161647.18	MPP3	MPP3	4356	MAGUK p55 scaffold protein 3	164.01538255849638	1.5225557401413272	0.17339130637117509	1.044806943124675e-20	3.007650920274898e-18
ENSG00000157110.16	RBPMS	RBPMS	11030	RNA binding protein, mRNA processing factor	2886.5912824912357	0.866849396921018	0.09620622052488857	1.7299029721506482e-20	4.898177727046885e-18
ENSG00000106976.20	DNM1	DNM1	1759	dynamin 1	1047.658800629683	-1.704495164136484	0.1959698064716276	1.8699382746190667e-20	5.2092861095516966e-18
ENSG00000163110.15	PDLIM5	PDLIM5	10611	PDZ and LIM domain 5	1308.9011193275223	1.525051710950824	0.17512928455264992	1.9846279734604603e-20	5.441030850414138e-18
ENSG00000103502.14	CDIPT	CDIPT	10423	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2777.887112100277	0.8006211003212009	0.08900744683146089	2.2850012652912347e-20	6.16664716470472e-18
ENSG00000157613.11	CREB3L1	CREB3L1	90993	cAMP responsive element binding protein 3 like 1	2750.9678980046438	-0.9495849087049042	0.10638831960687015	2.9138113397915523e-20	7.742669147827644e-18
ENSG00000124766.7	SOX4	SOX4	6659	SRY-box transcription factor 4	1254.2485862289245	-2.267602833468021	0.25804112265475765	3.7564311796160844e-20	9.830466565807426e-18
ENSG00000132970.14	WASF3	WASF3	10810	WASP family member 3	677.9490593244345	1.0642411199467736	0.12055010990135782	4.5165990805884735e-20	1.164338795819763e-17
ENSG00000151726.14	ACSL1	ACSL1	2180	acyl-CoA synthetase long chain family member 1	1450.964008298834	1.5427130133065858	0.17962917760591374	5.479333743874208e-20	1.374105493060895e-17
ENSG00000154734.15	ADAMTS1	ADAMTS1	9510	ADAM metallopeptidase with thrombospondin type 1 motif 1	29982.20240485184	2.21670653603555	0.25397080749774703	5.489420971584168e-20	1.374105493060895e-17
ENSG00000227051.6	C14orf132	C14orf132	56967	chromosome 14 open reading frame 132	4582.552056114135	-1.1015522181579087	0.1253892001444808	5.647900821533228e-20	1.3935791855645986e-17
ENSG00000169738.8	DCXR	DCXR	51181	dicarbonyl and L-xylulose reductase	609.7704704976599	2.072172992253251	0.23996244323622923	7.809691598204792e-20	1.8998449758337068e-17
ENSG00000196975.16	ANXA4	ANXA4	307	annexin A4	4905.365870150551	1.1497653979904452	0.13195713985903204	8.585444427350017e-20	2.0595527242942986e-17
ENSG00000146006.8	LRRTM2	LRRTM2	26045	leucine rich repeat transmembrane neuronal 2	46.72134337709972	-3.883455925693419	0.4562411302622207	9.513762518685396e-20	2.2509822770237556e-17
ENSG00000157214.14	STEAP2	STEAP2	261729	STEAP2 metalloreductase	2988.364794359365	1.916765676011223	0.22545788806011557	1.5228708636671398e-19	3.554462913143087e-17
ENSG00000128311.14	TST	TST	7263	thiosulfate sulfurtransferase	312.0398809365598	1.254751593524523	0.1463200308405023	1.7542096993875153e-19	4.039827990376155e-17
ENSG00000185432.12	TMT1A	TMT1A	25840	thiol methyltransferase 1A	3876.187765798303	2.240294705194787	0.2605388926435747	1.7996650605928988e-19	4.0899756482316514e-17
ENSG00000118689.15	FOXO3	FOXO3	2309	forkhead box O3	3717.048248472713	1.2439418938480493	0.1453493128204097	2.1398280657049755e-19	4.7998844611501734e-17
ENSG00000174306.21	ZHX3	ZHX3	23051	zinc fingers and homeoboxes 3	3206.5919497424657	1.0987600524324432	0.1274713978488086	2.4478678353976256e-19	5.420458109357409e-17
ENSG00000112837.17	TBX18	TBX18	9096	T-box transcription factor 18	2735.3314845319123	-1.7293244886167904	0.2064847999794035	3.1207526358482444e-19	6.822992345110238e-17
ENSG00000173838.12	MARCHF10	MARCHF10	162333	membrane associated ring-CH-type finger 10	46.06456038445326	3.6417039812921894	0.4313675863018083	3.2014383872834173e-19	6.911905478144898e-17
ENSG00000072958.8	AP1M1	AP1M1	8907	adaptor related protein complex 1 subunit mu 1	2153.7796944923234	1.0584151591941442	0.12313882410127537	3.592848071048456e-19	7.661194059648016e-17
ENSG00000146592.17	CREB5	CREB5	9586	cAMP responsive element binding protein 5	663.170717770785	-1.93211817284158	0.2327417549808873	8.677074741822845e-19	1.8141833499841106e-16
ENSG00000108830.10	RND2	RND2	8153	Rho family GTPase 2	204.58756289862126	-2.2465630563247783	0.2669755620131609	8.7179954868388835e-19	1.8141833499841106e-16
ENSG00000177283.7	FZD8	FZD8	8325	frizzled class receptor 8	123.75153657131409	2.4442004261470767	0.28926654465463525	9.930204506284976e-19	2.0418391932446918e-16
ENSG00000179593.16	ALOX15B	ALOX15B	247	arachidonate 15-lipoxygenase type B	66.64398166705627	9.102815338174272	1.0818247912713725	1.1717016875137264e-18	2.380897829027892e-16
ENSG00000067369.13	TP53BP1	TP53BP1	7158	tumor protein p53 binding protein 1	1635.5842295199045	-0.7744527396615682	0.09071518473523335	1.3502621236685045e-18	2.711828767442141e-16
ENSG00000221869.5	CEBPD	CEBPD	1052	CCAAT enhancer binding protein delta	1901.7804917853653	1.4343106378227763	0.17418046381355373	1.513525850628037e-18	3.004783734718098e-16
ENSG00000137672.13	TRPC6	TRPC6	7225	transient receptor potential cation channel subfamily C member 6	652.9763992848127	1.8799974136257478	0.2296502612324986	1.9742157130963033e-18	3.8748470223408355e-16
ENSG00000181061.13	HIGD1A	HIGD1A	25994	HIG1 hypoxia inducible domain family member 1A	980.1010355734229	1.2396543643527056	0.14986232051296844	2.50268033104205e-18	4.856887042444751e-16
ENSG00000112773.16	TENT5A	TENT5A	55603	terminal nucleotidyltransferase 5A	511.27583238780807	-1.1415124982788607	0.1379811712859902	3.9061142546745254e-18	7.496267267415378e-16
ENSG00000246430.7	LINC00968	LINC00968	100507632	long intergenic non-protein coding RNA 968	2222.9490475874113	1.960852874405021	0.24351628299828496	7.361854358759243e-18	1.397296137192194e-15
ENSG00000150907.10	FOXO1	FOXO1	2308	forkhead box O1	462.75666150570794	2.2437869581773033	0.2758160055713784	8.70672165606296e-18	1.6345923526469502e-15
ENSG00000143320.9	CRABP2	CRABP2	1382	cellular retinoic acid binding protein 2	1479.889999681215	-1.6051061556820465	0.20214982394321104	1.1644112282430217e-17	2.1625495413132764e-15
ENSG00000128923.11	MINDY2	MINDY2	54629	MINDY lysine 48 deubiquitinase 2	1395.759937592626	1.0014677374737238	0.12217904134862782	1.322642510738724e-17	2.4302852601573663e-15
ENSG00000103485.19	QPRT	QPRT	23475	quinolinate phosphoribosyltransferase	852.7950988447939	-1.157049571636758	0.14287728283715737	1.547350320811818e-17	2.8132457622170234e-15
ENSG00000103064.15	SLC7A6	SLC7A6	9057	solute carrier family 7 member 6	566.4288592575983	1.418551297523009	0.17827629558302127	1.5703141795569438e-17	2.825256928052868e-15
ENSG00000163513.19	TGFBR2	TGFBR2	7048	transforming growth factor beta receptor 2	13175.155811751474	1.3903634293975735	0.17575735667638362	2.5305906428482207e-17	4.506016658069532e-15
ENSG00000162426.14	SLC45A1	SLC45A1	50651	solute carrier family 45 member 1	165.55848170340076	1.2620928959715452	0.15871764921222598	3.135533953146045e-17	5.526218616197804e-15
ENSG00000169715.15	MT1E	MT1E	4493	metallothionein 1E	508.68465281243186	2.0656757973879087	0.26144513990616913	3.384910737861706e-17	5.905472551954282e-15
ENSG00000131871.15	SELENOS	SELENOS	55829	selenoprotein S	798.7442180410153	0.6616553131916206	0.08145373838577398	4.115376611062966e-17	7.108078482627954e-15
ENSG00000162704.16	ARPC5	ARPC5	10092	actin related protein 2/3 complex subunit 5	2583.042410233829	0.8604057773395267	0.10612944742445021	4.2837992027460874e-17	7.325720775230734e-15
ENSG00000134243.12	SORT1	SORT1	6272	sortilin 1	5483.181087186947	2.13172124707247	0.2721170378434439	7.000172496105055e-17	1.1853625426737893e-14
ENSG00000167549.18	CORO6	CORO6	84940	coronin 6	1943.338682018923	2.2543766506706175	0.2871514887268024	8.603727181764062e-17	1.442753163916785e-14
ENSG00000187193.9	MT1X	MT1X	4501	metallothionein 1X	35.04334046428244	3.0786807419388063	0.3943583270134016	1.6530217980201925e-16	2.7452877399427658e-14
ENSG00000183722.9	LHFPL6	LHFPL6	10186	LHFPL tetraspan subfamily member 6	2985.2763710426075	0.6724150917581377	0.08460382716779144	1.7318210572619537e-16	2.8487631715265204e-14
ENSG00000020577.14	SAMD4A	SAMD4A	23034	sterile alpha motif domain containing 4A	3080.744415128765	1.155413494052818	0.1482892779844908	1.8349069072254405e-16	2.9898596322262085e-14
ENSG00000253368.4	TRNP1	TRNP1	388610	TMF1 regulated nuclear protein 1	1025.1435916088867	1.879358713255621	0.24681544665052094	1.9118882994027455e-16	3.0861808137648803e-14
ENSG00000135862.6	LAMC1	LAMC1	3915	laminin subunit gamma 1	33705.068218147084	0.7794508546531392	0.09837357491679254	2.1775954108187367e-16	3.4699732964316234e-14
ENSG00000233117.4	NA	ENSG00000233117.4	NA	NA	90.02413987737468	3.1353715031611813	0.4040191722967221	2.189827983505367e-16	3.4699732964316234e-14
ENSG00000087448.11	KLHL42	KLHL42	57542	kelch like family member 42	905.5265571166271	1.0173240827532022	0.12974181575850546	2.2233123209481553e-16	3.491004582492413e-14
ENSG00000105516.11	DBP	DBP	1628	D-box binding PAR bZIP transcription factor	83.39385509367241	-1.5796476413268596	0.20945387105882615	2.7939890771545814e-16	4.347547688343597e-14
ENSG00000099337.5	KCNK6	KCNK6	9424	potassium two pore domain channel subfamily K member 6	903.9311973405132	2.7314322817979004	0.35153853663672924	2.8835013528624707e-16	4.446771014878625e-14
ENSG00000145685.14	LHFPL2	LHFPL2	10184	LHFPL tetraspan subfamily member 2	1999.7710676481968	-1.1855365071348993	0.15387920538637004	3.1739102074964207e-16	4.838064930048143e-14
ENSG00000051108.15	HERPUD1	HERPUD1	9709	homocysteine inducible ER protein with ubiquitin like domain 1	2265.1963154763266	0.7259585282837779	0.0921493086636992	3.193257306771007e-16	4.838064930048143e-14
ENSG00000099860.9	GADD45B	GADD45B	4616	growth arrest and DNA damage inducible beta	363.20932574156217	1.380864455609537	0.18265245826720883	4.1434038401937467e-16	6.183473520209186e-14
ENSG00000120690.16	ELF1	ELF1	1997	E74 like ETS transcription factor 1	1416.4104507368882	0.8949946551512938	0.11454560204663898	4.152865495277128e-16	6.183473520209186e-14
ENSG00000049246.14	PER3	PER3	8863	period circadian regulator 3	189.3132841549351	-2.1283196297007874	0.2834108215172854	8.33024831953224e-16	1.2297440083329987e-13
ENSG00000157152.17	SYN2	SYN2	6854	synapsin II	50.02103713500676	3.2193857243347557	0.4257189408897227	8.781291892764481e-16	1.2853429963714248e-13
ENSG00000130066.16	SAT1	SAT1	6303	spermidine/spermine N1-acetyltransferase 1	4077.4439660283883	1.2579481816193938	0.16713813613198894	9.01617163207116e-16	1.3086329111691853e-13
ENSG00000100784.12	RPS6KA5	RPS6KA5	9252	ribosomal protein S6 kinase A5	106.00139330098828	-2.125714645909496	0.2845960190112815	1.1191741229213145e-15	1.6108646209247453e-13
ENSG00000077254.14	USP33	USP33	23032	ubiquitin specific peptidase 33	2722.4705353030095	0.8609489895596676	0.11193982253183522	1.1775807281008025e-15	1.6809234988228975e-13
ENSG00000170214.5	ADRA1B	ADRA1B	147	adrenoceptor alpha 1B	224.8050729506796	3.4164159888123176	0.45811539592156786	1.3503000736768955e-15	1.9116707272579788e-13
ENSG00000146250.7	PRSS35	PRSS35	167681	serine protease 35	309.9928067031102	-2.578525517626733	0.34116210468299574	1.374613558673805e-15	1.9302703565377204e-13
ENSG00000138316.11	ADAMTS14	ADAMTS14	140766	ADAM metallopeptidase with thrombospondin type 1 motif 14	788.9701281372536	-2.2885960778090357	0.30552821193050955	1.4565753870601966e-15	2.0288685552664286e-13
ENSG00000173068.18	BNC2	BNC2	54796	basonuclin zinc finger protein 2	2727.0431479729405	-0.8387769355520328	0.10940022551565583	1.4887184635423059e-15	2.0570516241842163e-13
ENSG00000198795.11	ZNF521	ZNF521	25925	zinc finger protein 521	938.8951164986232	-0.9512796877623484	0.12523483354960518	1.9044092733232373e-15	2.6105521403840444e-13
ENSG00000115419.13	GLS	GLS	2744	glutaminase	3856.7399540665383	1.133431517338319	0.15136584141697265	2.1202611665861213e-15	2.883555186557125e-13
ENSG00000127824.14	TUBA4A	TUBA4A	7277	tubulin alpha 4a	221.56809246864276	-1.478876004511725	0.20260093668075296	2.1610077894940396e-15	2.9160098859485195e-13
ENSG00000231246.2	LINC02884	LINC02884	105378909	long intergenic non-protein coding RNA 2884	58.38959019441576	2.9268315145443586	0.39137918368544766	2.389189943085116e-15	3.1989216044159785e-13
ENSG00000149218.5	ENDOD1	ENDOD1	23052	endonuclease domain containing 1	2019.9545728416924	1.8664686334352178	0.25902856846812555	4.018301863324016e-15	5.338777675640955e-13
ENSG00000087116.16	ADAMTS2	ADAMTS2	9509	ADAM metallopeptidase with thrombospondin type 1 motif 2	4487.1118747148475	0.6755499404607748	0.09031360482543285	6.5024793437684335e-15	8.573345284394534e-13
ENSG00000013293.6	SLC7A14	SLC7A14	57709	solute carrier family 7 member 14	241.78443709885275	-2.642494327364299	0.36028350336987247	7.386415347012881e-15	9.66501256618231e-13
ENSG00000198431.16	TXNRD1	TXNRD1	7296	thioredoxin reductase 1	22576.80185723442	1.4647966322683819	0.20530180271171278	7.570244389854496e-15	9.831072263275704e-13
ENSG00000157510.14	AFAP1L1	AFAP1L1	134265	actin filament associated protein 1 like 1	500.82798168118427	1.613148048565294	0.22752200552508592	7.902638332239538e-15	1.0186146960779202e-12
ENSG00000176771.17	NCKAP5	NCKAP5	344148	NCK associated protein 5	107.44727648660529	-2.10430796097956	0.2926944486992805	8.19663332942746e-15	1.0486833397471933e-12
ENSG00000152332.16	UHMK1	UHMK1	127933	U2AF homology motif kinase 1	2965.156671156789	0.6380363824102244	0.086698446465833	1.4439796167331754e-14	1.8338541132511328e-12
ENSG00000104756.16	KCTD9	KCTD9	54793	potassium channel tetramerization domain containing 9	1583.9186133426572	0.8117240618315559	0.11066967383317008	1.9245415036260057e-14	2.426327069388932e-12
ENSG00000136999.5	CCN3	CCN3	4856	cellular communication network factor 3	376.61416105194263	-2.3491114974986367	0.3286535692481725	1.987860820456556e-14	2.4879950790525823e-12
ENSG00000135362.14	PRR5L	PRR5L	79899	proline rich 5 like	110.70900362674341	1.4400768028964037	0.20550874891738705	2.0490553388051488e-14	2.546135526031837e-12
ENSG00000100626.17	GALNT16	GALNT16	57452	polypeptide N-acetylgalactosaminyltransferase 16	507.8428959752986	-1.0007800391624888	0.13867672925574243	2.74470871134866e-14	3.3861863473152896e-12
ENSG00000143891.17	GALM	GALM	130589	galactose mutarotase	520.4572843154829	-1.0498712584172964	0.1469891939407315	3.898378404349433e-14	4.7753753049591064e-12
ENSG00000179820.16	MYADM	MYADM	91663	myeloid associated differentiation marker	3759.5585423104453	1.3977571515683698	0.20214840441593024	4.568449193921189e-14	5.556778484324421e-12
ENSG00000136877.15	FPGS	FPGS	2356	folylpolyglutamate synthase	1027.8034141287278	0.6189269332982977	0.08665599988678924	6.490033297720926e-14	7.83887098728922e-12
ENSG00000042286.15	AIFM2	AIFM2	84883	AIF family member 2	586.1115428335182	0.6805005786704506	0.0954503931287782	8.543370590372149e-14	1.0247298391451928e-11
ENSG00000182010.11	RTKN2	RTKN2	219790	rhotekin 2	118.227112910474	-1.7735882513481707	0.2632125459983966	9.68893129710397e-14	1.154118768024688e-11
ENSG00000177614.11	PGBD5	PGBD5	79605	piggyBac transposable element derived 5	138.74604915474302	-2.34340117119219	0.33995691051546945	1.1464498490788405e-13	1.3562658762527215e-11
ENSG00000181826.10	RELL1	RELL1	768211	RELT like 1	379.7432813381089	1.0579004960709577	0.15158449696392376	1.2147712968398303e-13	1.4273149550352074e-11
ENSG00000197301.7	HMGA2-AS1	HMGA2-AS1	100129940	HMGA2 antisense RNA 1	218.57692062540266	2.225033123975762	0.32718520351114194	1.6704299007928695e-13	1.9494368409793544e-11
ENSG00000183508.5	TENT5C	TENT5C	54855	terminal nucleotidyltransferase 5C	89.568175884965	-2.312628291936463	0.3392902499552785	1.8187946955440141e-13	2.108337045733974e-11
ENSG00000169744.13	LDB2	LDB2	9079	LIM domain binding 2	606.1591613339203	-1.230569570130404	0.18136700737502867	2.2325430579156006e-13	2.5595286398800634e-11
ENSG00000185813.10	PCYT2	PCYT2	5833	phosphate cytidylyltransferase 2, ethanolamine	465.2050988657792	1.0705730293019144	0.15551203755192775	2.2440133436167312e-13	2.5595286398800634e-11
ENSG00000102804.15	TSC22D1	TSC22D1	8848	TSC22 domain family member 1	4843.991377684924	1.1266784673799917	0.16448417711710955	2.2524800443594814e-13	2.5595286398800634e-11
ENSG00000116001.16	TIA1	TIA1	7072	TIA1 cytotoxic granule associated RNA binding protein	1332.1091847375553	-0.48444078710101746	0.07083903047376096	2.613572244904415e-13	2.950432667580984e-11
ENSG00000003402.20	CFLAR	CFLAR	8837	CASP8 and FADD like apoptosis regulator	2503.843022834224	1.1166461017880374	0.1639053823844121	3.0385228965207e-13	3.4078810044613985e-11
